dataset_id,review_scope,logical_families,physical_member_count,observations,main_baseline_crosswalk,main_dataset_or_similar_visible,jkobject_dataset_visible,branch_disposition,duplicate_newness_status,strict_obs_validated,strict_var_validated,chunks_or_structure_validated,cleaning_validated,lamin_registered,in_versioned_collection,entirely_validated,entirely_validated_main_existing_dataset,entirely_validated_jkobject_addition,missing_requirements,next_review_focus,source_completion_state,evidence
arc-vcc/2025,strict_real_dataset_curation_70,"[""arc_vcc/2025/test"",""arc_vcc/2025/train"",""arc_vcc/2025/validation""]",6,491046,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
broad_prism_repurposing,strict_real_dataset_curation_70,"[""broad_prism_repurposing""]",1,22316860,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
cellarity/public-collection,strict_real_dataset_curation_70,"[""cellarity/GSE305370/GSE305370_citeseq_alldonors_alldays"",""cellarity/GSE305370/GSE305370_multiome_alldonors_alldays"",""cellarity/GSE305370/GSE305370_rna_combined_with_velocity_and_refined_annotations"",""cellarity/GSE305979/GSE305979_day0-7_normalized_counts_with_celltype_annotations"",""cellarity/GSE305979/GSE305979_day0_raw_counts"",""cellarity/GSE305979/GSE305979_day1-7_demuxed_counts"",""cellarity/GSE305979/GSE305979_day1-7_raw_counts"",""cellarity/GSE306429/GSE306429_combined_demuxed"",""cellarity/GSE306429/GSE306429_combined_pseudobulk"",""cellarity/GSE306429/GSE306429_combined_vscores""]",10,2212441,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
depmap_ccle/26q1,strict_real_dataset_curation_70,"[""depmap_ccle/26q1""]",1,1775,False,False,True,jkobject_addition_no_main_match_in_available_evidence,no_main_match_in_available_evidence,True,True,True,True,True,True,True,False,True,,complete,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
drug-seq/GSE120222,strict_real_dataset_curation_70,"[""DRUG-seq/GSE120222""]",1,72,True,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,True,True,True,True,True,True,True,True,False,,complete,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE120861,strict_real_dataset_curation_70,"[""prism_collection/GSE120861""]",35,174711,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE132080,strict_real_dataset_curation_70,"[""prism_collection/GSE132080""]",1,23608,False,False,True,jkobject_addition_no_main_match_in_available_evidence,no_main_match_in_available_evidence,True,True,True,True,True,True,True,False,True,,complete,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE150062,strict_real_dataset_curation_70,"[""prism_collection/GSE150062""]",1,78393,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE161824,strict_real_dataset_curation_70,"[""prism_collection/GSE161824""]",36,176040,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE164996,strict_real_dataset_curation_70,"[""prism_collection/GSE164996""]",1,25794,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
geo/GSE165291,strict_real_dataset_curation_70,"[""prism_collection/GSE165291""]",1,101670,False,True,True,main_existing_with_jkobject_review_or_revision,already_on_or_similar_to_main,False,False,False,False,True,True,False,False,False,full_obs_validation;var_validation_or_NA_disposition;chunks_or_structure_validation;cleaning_acceptance,full_obs_validation,current_strict_ledger_override_of_2026-07-17_crosswalk,TODO.md/current-status strict OBS+VAR ledgers; 2026-07-29 bounded live main/jkobject key readback; final_real_dataset_obs_var_20260717.tsv
